"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"12/09/2025 00:00:00 - 12/09/2025 01:00:00","BZN|CH","Without Sequence","92.65","",""
"12/09/2025 01:00:00 - 12/09/2025 02:00:00","BZN|CH","Without Sequence","87.80","",""
"12/09/2025 02:00:00 - 12/09/2025 03:00:00","BZN|CH","Without Sequence","87.80","",""
"12/09/2025 03:00:00 - 12/09/2025 04:00:00","BZN|CH","Without Sequence","87.80","",""
"12/09/2025 04:00:00 - 12/09/2025 05:00:00","BZN|CH","Without Sequence","87.80","",""
"12/09/2025 05:00:00 - 12/09/2025 06:00:00","BZN|CH","Without Sequence","92.00","",""
"12/09/2025 06:00:00 - 12/09/2025 07:00:00","BZN|CH","Without Sequence","105.59","",""
"12/09/2025 07:00:00 - 12/09/2025 08:00:00","BZN|CH","Without Sequence","113.05","",""
"12/09/2025 08:00:00 - 12/09/2025 09:00:00","BZN|CH","Without Sequence","105.80","",""
"12/09/2025 09:00:00 - 12/09/2025 10:00:00","BZN|CH","Without Sequence","102.60","",""
"12/09/2025 10:00:00 - 12/09/2025 11:00:00","BZN|CH","Without Sequence","102.60","",""
"12/09/2025 11:00:00 - 12/09/2025 12:00:00","BZN|CH","Without Sequence","99.55","",""
"12/09/2025 12:00:00 - 12/09/2025 13:00:00","BZN|CH","Without Sequence","89.00","",""
"12/09/2025 13:00:00 - 12/09/2025 14:00:00","BZN|CH","Without Sequence","90.00","",""
"12/09/2025 14:00:00 - 12/09/2025 15:00:00","BZN|CH","Without Sequence","87.80","",""
"12/09/2025 15:00:00 - 12/09/2025 16:00:00","BZN|CH","Without Sequence","90.84","",""
"12/09/2025 16:00:00 - 12/09/2025 17:00:00","BZN|CH","Without Sequence","95.03","",""
"12/09/2025 17:00:00 - 12/09/2025 18:00:00","BZN|CH","Without Sequence","102.06","",""
"12/09/2025 18:00:00 - 12/09/2025 19:00:00","BZN|CH","Without Sequence","107.32","",""
"12/09/2025 19:00:00 - 12/09/2025 20:00:00","BZN|CH","Without Sequence","122.67","",""
"12/09/2025 20:00:00 - 12/09/2025 21:00:00","BZN|CH","Without Sequence","122.99","",""
"12/09/2025 21:00:00 - 12/09/2025 22:00:00","BZN|CH","Without Sequence","112.91","",""
"12/09/2025 22:00:00 - 12/09/2025 23:00:00","BZN|CH","Without Sequence","102.99","",""
"12/09/2025 23:00:00 - 13/09/2025 00:00:00","BZN|CH","Without Sequence","93.15","",""
